,upz_id,local_id
0,1,1
6,2,11
9,3,11
19,9,1
26,10,1
33,11,1
38,12,1
51,13,1
67,14,1
68,15,1
75,16,1
79,17,11
88,18,11
95,19,11
98,20,11
108,21,12
118,22,12
119,23,11
129,24,11
134,25,11
150,26,10
160,27,11
176,28,11
185,29,10
197,30,10
202,31,10
212,32,4
223,33,4
241,34,4
249,35,15
250,36,18
263,37,14
272,38,15
291,39,18
303,40,16
304,41,16
322,42,6
336,43,16
343,44,8
351,45,8
353,46,8
366,47,8
377,48,8
378,49,7
388,50,4
404,51,4
405,52,5
415,53,18
424,54,18
433,55,18
434,56,5
443,57,5
455,58,5
457,59,5
461,60,5
462,61,5
474,62,6
475,64,19
483,65,19
484,66,19
504,67,19
515,68,19
524,69,19
526,70,19
540,71,11
541,72,10
549,73,10
550,74,10
563,75,9
564,76,9
574,77,9
575,78,8
581,80,8
585,81,8
587,82,8
593,83,8
599,84,7
601,85,7
613,86,7
614,87,7
626,88,2
635,89,2
648,90,2
654,91,3
656,92,3
668,93,3
676,94,17
680,95,3
695,96,3
706,97,2
725,98,12
737,99,2
738,100,13
752,101,13
763,102,14
774,103,12
778,104,13
780,105,10
782,106,13
794,107,13
795,108,16
803,109,13
808,110,9
810,111,16
812,112,9
820,113,8
826,114,9
831,115,9
834,116,10
836,117,9
